"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significance"
9.17971567561385,1.2701152952833,0.274008140650801,4.63531956483714,3.5638647633995e-06,0.00376667605091493,"ENSAPEG00000020226","UpinP1"
52.0308202679155,1.05679627256764,0.251474605366972,4.20239757817882,2.64102753840841e-05,0.0141051998771316,"ENSAPEG00000023977","UpinP1"
19.6859159529801,1.10406499703968,0.285367674964002,3.86892102330426,0.000109318041346233,0.027805290865789,"ENSAPEG00000010334","UpinP1"
4.61233177937586,1.84677067530222,0.485644777112872,3.8027191114484,0.000143116591567965,0.0298507638716006,"ENSAPEG00000002023","UpinP1"
6.22841037836299,1.02607400890132,0.288391447420474,3.55792107595099,0.000373801583881852,0.0445321992935469,"ENSAPEG00000006749","UpinP1"
6.42598854574092,1.05406971205208,0.300822831910953,3.50395515312515,0.000458402549326553,0.0474464406093654,"ENSAPEG00000019104","UpinP1"
59.432882912117,-1.14093597629004,0.199722709156204,-5.71260014001568,1.11262902772918e-08,0.000109191560258949,"ENSAPEG00000011739","UpinP2"
159.341037144554,-1.759314761809,0.311565206114932,-5.64669843512632,1.63558358686263e-08,0.000109191560258949,"ENSAPEG00000015523","UpinP2"
45.0435195360943,-2.09016217366205,0.43729820807394,-4.77971813071925,1.75541125648199e-06,0.00347292122656421,"ENSAPEG00000005229","UpinP2"
24.2836226431407,-1.28585234124894,0.27448199353951,-4.684650984451,2.8043738080103e-06,0.00371541514091317,"ENSAPEG00000015722","UpinP2"
16.1932394660971,-1.02716391884259,0.218138282583495,-4.70877420816513,2.49210943768344e-06,0.00371541514091317,"ENSAPEG00000010103","UpinP2"
32.0791082420093,-1.06053822413467,0.229087918486883,-4.62939395119344,3.66737482488721e-06,0.00376667605091493,"ENSAPEG00000022341","UpinP2"
35.4103410273297,-1.08965516793325,0.246194560289623,-4.42599205543524,9.60000571422704e-06,0.00801120476852246,"ENSAPEG00000012691","UpinP2"
8.51475040599094,-1.07259722606574,0.25404498718277,-4.22207593214217,2.42062529736877e-05,0.0134667454043616,"ENSAPEG00000006596","UpinP2"
224.911086739562,-1.11374905274848,0.263611023462967,-4.22497146787545,2.38971053177053e-05,0.0134667454043616,"ENSAPEG00000016646","UpinP2"
25.6684483810148,-1.10048447484127,0.264118665570683,-4.16662893727502,3.09137074808122e-05,0.0145071733109687,"ENSAPEG00000015491","UpinP2"
